번호,행정동,법정동/리,고택명,소재지,분야,설립년도,창건자,소유자,관리자,구조,문화재 지정,숙박 여부,별칭,중복의심
548,풍산읍,오미리,안동 학암고택,안동시 풍산읍 미동길 59,주거가옥,1800년대,김중휴,김탁,김탁,"6X4, 'ㅁ'자형, 홑처마, 맞배지붕 학암정: 3X1.5, 홑처마, 팔작지붕",국가민속문화재,X,오미동 참봉댁,False
549,풍산읍,오미리,오미동 도림강당,안동시 풍산읍 미동길 167,사당,1805년,미상,풍산김씨문중,김태연,"도림강당: 5X2, 'ㅡ'자형, 홑처마, 맞배지붕 사당(추원사): 3X3, 'ㅡ'자형, 홑처마, 맞배지붕 고직사: 4X5, 'ㄷ'자형, 홑처마, 맞배지붕",경북 유형문화재,X,도림추원사,False
550,풍산읍,오미리,풍산김씨 오미재사,안동시 풍산읍 미동길 167 (오미동 도림강당 앞),재사,1805년,미상,,,"ㅁ'자형, 홑처마 , 맞배지붕 *전체적으로 개조가 많이 이루어짐",안동시 문화유산,X,,False
551,풍산읍,오미리,풍산김씨 종택,안동시 풍산읍 미동길 72,주거가옥,1554년 / 1600년 (재건),김대현,김재만,김태연,"본채: 7X6.5, 'ㅁ'자형, 홑처마, 팔작지붕+맞배지붕 큰사랑채: 3X2, 'ㅡ'자형, 홑처마, 팔작지붕 사당: 3X1.5, 'ㅡ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,"유경당, 허백당 종택",False
552,풍산읍,하리리,곡강정,안동시 풍산읍 우렁길85-7,정자,조선후기,이호,,,"3X1.5, 겹처마, 팔작지붕",경북 민속문화재,X,,False
553,풍산읍,하리리,안동 예안이씨 충효당,안동시 풍산읍 우렁길 73,주거가옥,1551년 / 1974년(중수),미상,이준교,종부님,"몸채: 6X6.5, 'ㅁ'자형, 홑처마, 우진각지붕+맞배지붕 충효당: 3X2, 'ㅡ'자형, 홑처마, 우진각지붕+맞배지붕",보물,O,쌍수당,False
554,풍산읍,하리리,안동 일성당고택,안동시 풍산읍 중마길 11,주거가옥,1680년,이문한,이종훈,이창중,"본채: 5X5 'ㅁ'자형, 홑처마, 우진각지붕+맞배지붕 종산정: 3X1.5, 'ㅡ'자형, 홑처마, 우진각지붕",국가민속문화재,X,하리동 일성당,False
555,풍산읍,하리리,예안이씨 사직공파구택,안동시 풍산읍 우렁길 127-25,주거가옥,1525년,이영,이수태,이수태,"6X5, 'ㅁ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
556,풍산읍,하리리,존경사,안동시 풍산읍 중마길 16-9 (침류정 앞),사당,미상,미상,전의이씨 문중,,,비지정,X,,False
557,풍산읍,하리리,침류정,안동시 풍산읍 중마길 16-79 (존경사 뒤),정자,미상,이화,전의이씨 문중,이웅호,"3X1.5, 홑처마 팔작지붕",안동시 문화유산,X,,False
558,풍산읍,현애리,안동김씨 북애공종택,안동시 풍산읍 감애길 59,주거가옥,조선시대,노씨 문중,김정일,김영일,"종택: 5X6, 'ㅁ'자형, 홑처마,팔작지붕 태고정: 3X2, 홑처마, 팔작지붕 관리사: 3X1",경북 민속문화재,X,,False
559,풍산읍,회곡리,죽주박씨 상락재사,안동시 풍산읍 우릉길 3-6,재사,1976년,안동김씨 문중,안동김씨 대종회,,"3x2, 홑처마 팔작지붕",비지정,X,,False
